"Incident Case Id","Date","Clearance Code Inc Type","PGPD Reporting Area","PGPD Sector","PGPD BEAT","Street Number","Street Name","Latitude","Longitude","Location"
"PP23070100001467","07/01/2023","THEFT FROM AUTO","619","K","K6","7700 BLOCK","DEN MEADE AVE","38.78265663981","-76.96111102402","(38.78265663981438,-76.9611110240221)"
"PP23070100001644","07/01/2023","ACCIDENT WITH IMPOUND","732","F","F3",,"WOODYARD RD / GREEN ST","38.77904772758","-76.85842093825","(38.77904772758484,-76.8584209382534)"
"PP23070100001653","07/01/2023","THEFT","416","H","H2","5000 BLOCK","MARLBORO PIKE EB","38.86992681026","-76.92174102366","(38.86992681026459,-76.9217410236597)"
"PP23070100001751","07/01/2023","ACCIDENT","510","K","K5",,"SAINT BARNABAS RD NB / CLIFTON RD","38.82661980391","-76.94503495097","(38.82661980390549,-76.9450349509716)"
"PP23070100001764","07/01/2023","AUTO, STOLEN","305","G","G3",,"SHERIFF RD / CLAYBRICK RD","38.9066721499","-76.90500877798","(38.90667214989662,-76.90500877797604)"
"PP23070100001836","07/01/2023","ACCIDENT","104","A","A7","9000 BLOCK","RIGGS RD","39.00345672667","-76.97193777561","(39.003456726670265,-76.97193777561188)"
"PP23070100002030","07/01/2023","ACCIDENT","306","G","G6",,"MLK HWY EB / SHERIFF RD","38.90962488949","-76.89155736566","(38.90962488949299,-76.8915573656559)"
"PP23070100002033","07/01/2023","THEFT","624","F","F2","8800 BLOCK","BRANCH AVE SB","38.7672367245","-76.89024503529","(38.76723672449589,-76.89024503529072)"
"PP23070100002103","07/01/2023","ACCIDENT","615","K","K6","7700 BLOCK","ALLENTOWN RD","38.78298473358","-76.94339452684","(38.78298473358154,-76.94339452683926)"
"PP23070100002253","07/01/2023","AUTO, STOLEN","135","A","A2","5400 BLOCK","16TH AVE","38.95490039885","-76.98210836947","(38.95490039885044,-76.98210836946964)"
"PP23070100002311","07/01/2023","THEFT","415","H","H2","4800 BLOCK","MARLBORO PIKE EB","38.87287956476","-76.92895886302","(38.872879564762115,-76.92895886301994)"
"PP23070100002340","07/01/2023","ACCIDENT","110","A","A4","8100 BLOCK","15TH AVE","38.99000531435","-76.98145219684","(38.99000531435013,-76.98145219683647)"
"PP23070100002390","07/01/2023","ACCIDENT","135","A","A2","2100 BLOCK","INGRAHAM ST","38.95260381699","-76.97325010598","(38.952603816986084,-76.97325010597706)"
"PP23070100002495","07/01/2023","ROBBERY, OTHER","843","D","D5","10200 BLOCK","MARTIN LUTHER KING JUNIOR HWY EB","38.95522847772","-76.82823728025","(38.955228477716446,-76.8282372802496)"
"PP23070100002563","07/01/2023","AUTO, STOLEN","429","K","K2","3400 BLOCK","CURTIS DR","38.84827330709","-76.94634728134","(38.84827330708504,-76.94634728133678)"
"PP23070100002645","07/01/2023","ACCIDENT WITH IMPOUND","113","A","A3","7400 BLOCK","RIGGS RD SB","38.98311555386","-76.9798117727","(38.983115553855896,-76.97981177270412)"
"PP23070100002758","07/01/2023","ACCIDENT WITH IMPOUND","628","W","W4","12500 BLOCK","PISCATAWAY RD","38.71769614518","-76.96078294516","(38.71769614517689,-76.9607829451561)"
"PP23070200000074","07/02/2023","ACCIDENT","755","F","F7","15400 BLOCK","BRANDYWINE RD","38.67766997218","-76.80953653157","(38.67766997218132,-76.80953653156757)"
"PP23070200000141","07/02/2023","ASSAULT","308","G","G6","7200 BLOCK","HAWTHORNE ST","38.92438864708","-76.88105869293","(38.92438864707947,-76.88105869293213)"
"PP23070200000535","07/02/2023","AUTO, STOLEN","429","K","K2","3300 BLOCK","CURTIS DR","38.84794522822","-76.9486438632","(38.84794522821903,-76.94864386320114)"
"PP23070200000538","07/02/2023","THEFT FROM AUTO","135","A","A2","5400 BLOCK","16TH AVE","38.95490039885","-76.98210836947","(38.95490039885044,-76.98210836946964)"
"PP23070200000593","07/02/2023","AUTO, STOLEN","125","A","A3","700 BLOCK","CHILLUM RD WB","38.96507097781","-76.99884061515","(38.965070977807045,-76.99884061515331)"
"PP23070200000680","07/02/2023","B & E, COMMERCIAL","919","C","C1","12300 BLOCK","CONWAY RD","39.06021514535","-76.88466760516","(39.0602151453495,-76.88466760516167)"
"PP23070200000731","07/02/2023","AUTO, STOLEN","738","F","F5","10800 BLOCK","WACO DR","38.75870655477","-76.82626877725","(38.75870655477047,-76.82626877725124)"
"PP23070200000890","07/02/2023","ACCIDENT WITH IMPOUND","843","D","D5",,"MARTIN LUTHER KING JUNIOR HWY EB / ANNAPOLIS RD","38.95588465035","-76.82331602275","(38.95588465034962,-76.82331602275372)"
"PP23070200001001","07/02/2023","AUTO, STOLEN","441","H","H2","2100 BLOCK","BROOKS DR NB","38.86139664054","-76.91714785993","(38.86139664053917,-76.91714785993099)"
"PP23070200001275","07/02/2023","THEFT FROM AUTO","738","F","F5","9900 BLOCK","HUMMINGBIRD LN","38.75444146991","-76.82233178616","(38.75444146990776,-76.8223317861557)"
"PP23070200001325","07/02/2023","THEFT","413","H","H7","1700 BLOCK","RITCHIE STATION CT","38.86697405577","-76.85054694116","(38.86697405576706,-76.85054694116116)"
"PP23070200001459","07/02/2023","ACCIDENT","175","A","A5","6700 BLOCK","BELCREST RD","38.97130456567","-76.95389319956","(38.971304565668106,-76.95389319956303)"
"PP23070200001506","07/02/2023","THEFT FROM AUTO","221","B","B6","6800 BLOCK","DARTMOUTH AVE","38.97360114753","-76.93223969638","(38.97360114753246,-76.93223969638348)"
"PP23070200001640","07/02/2023","THEFT","656","J","J5","6000 BLOCK","OXON HILL RD SB","38.80496631563","-76.9798117727","(38.8049663156271,-76.97981177270412)"
"PP23070200001648","07/02/2023","AUTO, STOLEN","618","F","F1","7000 BLOCK","ALLENTOWN RD","38.7934833914","-76.92600610852","(38.79348339140415,-76.92600610852242)"
"PP23070200001700","07/02/2023","AUTO, STOLEN","856","E","E2","1900 BLOCK","GRAND WAY BLVD","38.91585847735","-76.8403763622","(38.91585847735405,-76.84037636220455)"
"PP23070200001753","07/02/2023","AUTO, STOLEN","219","B","B63","4500 BLOCK","COLLEGE AVE","38.98213131726","-76.93781711161","(38.98213131725788,-76.93781711161137)"
"PP23070200001777","07/02/2023","ASSAULT, SHOOTING","238","D","B5","7500 BLOCK","ANNAPOLIS RD EB","38.95063531399","-76.88565185666","(38.95063531398773,-76.88565185666084)"
"PP23070200001839","07/02/2023","THEFT FROM AUTO","858","E","E2","9600 BLOCK","LOTTSFORD RD WB","38.91126531363","-76.84004828334","(38.911265313625336,-76.84004828333855)"
"PP23070200001903","07/02/2023","THEFT","703","E","E5","20 BLOCK","WATKINS PARK DR NB","38.89912623167","-76.79149194062","(38.89912623167038,-76.79149194061756)"
"PP23070200001934","07/02/2023","ACCIDENT","7,939","C","C3","4300 BLOCK","SELLMAN RD","39.03429655731","-76.91878828406","(39.03429655730724,-76.91878828406334)"
"PP23070200001943","07/02/2023","THEFT FROM AUTO","443","K","K4","5400 BLOCK","AUTH RD WB","38.82268281281","-76.91681978106","(38.822682812809944,-76.91681978106499)"
"PP23070200002057","07/02/2023","ACCIDENT WITH IMPOUND","157","A","A7",,"MERRIMAC DR / NEW HAMPSHIRE AVE NB","38.99295805395","-76.98637343943","(38.992958053946495,-76.98637343943119)"
"PP23070200002232","07/02/2023","ACCIDENT WITH IMPOUND","511","J","J2","1400 BLOCK","IVERSON ST","38.82465131581","-76.98735769093","(38.824651315808296,-76.98735769093037)"
"PP23070200002234","07/02/2023","THEFT","815","D","D2","7500 BLOCK","MISSION DR","38.99131764472","-76.82397219539","(38.99131764471531,-76.82397219538689)"
"PP23070200002255","07/02/2023","ACCIDENT WITH IMPOUND","809","D","D2",,"LAUREL BOWIE RD NB / JERICHO PARK RD","39.01526772976","-76.76327678561","(39.015267729759216,-76.7632767856121)"
"PP23070200002502","07/02/2023","AUTO, STOLEN","441","H","H2","5800 BLOCK","SILVER HILL RD NB","38.85450689495","-76.90632110834","(38.8545068949461,-76.90632110834122)"
"PP23070200000040","07/02/2023","AUTO, STOLEN & RECOVERED","321","G","G1","7000 BLOCK","ONYX CT","38.90043856204","-76.88597995043","(38.90043856203556,-76.88597995042801)"
"PP23070200000288","07/02/2023","AUTO, STOLEN","408","H","H1","1100 BLOCK","KAYAK AVE","38.87320764363","-76.92305336893","(38.87320764362812,-76.92305336892605)"
"PP23070200000313","07/02/2023","B & E, COMMERCIAL","633","F","F4","9000 BLOCK","WOODY TER","38.76494014263","-76.88532377779","(38.76494014263153,-76.88532377779484)"
"PP23070200000383","07/02/2023","THEFT FROM AUTO","502","K","K2","3000 BLOCK","BRANCH AVE SB","38.85352264345","-76.95881444216","(38.85352264344692,-76.95881444215775)"
"PP23070200000400","07/02/2023","ROBBERY, VEHICLE","135","A","A2","5400 BLOCK","16TH AVE","38.95490039885","-76.98210836947","(38.95490039885044,-76.98210836946964)"
"PP23070200000421","07/02/2023","ACCIDENT WITH IMPOUND","825","D","D1","8500 BLOCK","GOOD LUCK RD","38.97819431126","-76.86038944125","(38.97819431126118,-76.86038944125175)"
"PP23070200000444","07/02/2023","ASSAULT","113","A","A3","1400 BLOCK","UNIVERSITY BLVD EB","38.98574022949","-76.98440495133","(38.98574022948742,-76.984404951334)"
"PP23070200000699","07/02/2023","ASSAULT","332","G","G5","7600 BLOCK","LANDOVER RD WB","38.92734138668","-76.88368336856","(38.927341386675835,-76.88368336856365)"
"PP23070200000719","07/02/2023","ROBBERY, COMMERCIAL","111","A","A6","2000 BLOCK","UNIVERSITY BLVD WB","38.98409980536","-76.97784328461","(38.98409980535507,-76.97784328460693)"
"PP23070200000791","07/02/2023","THEFT FROM AUTO","713","E","E5","3700 BLOCK","HALLOWAY","38.83777464926","-76.72161018848","(38.83777464926243,-76.72161018848419)"
"PP23070200000803","07/02/2023","AUTO, STOLEN","243","B","B2","3400 BLOCK","55TH AVE","38.93455922604","-76.92600610852","(38.93455922603607,-76.92600610852242)"
"PP23070200000821","07/02/2023","AUTO, STOLEN","125","A","A3","5900 BLOCK","KNOLLBROOK DR","38.96507097781","-76.99949677289","(38.965070977807045,-76.99949677288532)"
"PP23070200000854","07/02/2023","THEFT FROM AUTO","731","F","F3","7900 BLOCK","MALCOLM RD","38.78036005795","-76.88991694152","(38.78036005795002,-76.88991694152355)"
"PP23070200000913","07/02/2023","THEFT FROM AUTO","243","B","B2","3400 BLOCK","55TH AVE","38.9348873049","-76.92666228116","(38.93488730490208,-76.92666228115559)"
"PP23070200001095","07/02/2023","ACCIDENT WITH IMPOUND","509","K","K3",,"SB BRANCH AVE OFRP SB ST BARNABAS RD / SAINT BARNABAS RD NB","38.83121298254","-76.94076986611","(38.83121298253536,-76.9407698661089)"
"PP23070200001100","07/02/2023","HOMICIDE","436","H","H1",,"ADDISON RD S / ROLLING RIDGE DR","38.88403439522","-76.89746285975","(38.884034395217896,-76.8974628597498)"
"PP23070200001103","07/02/2023","ACCIDENT","615","K","K6",,"ALLENTOWN RD / TEMPLE HILL RD","38.7934833914","-76.92863078415","(38.79348339140415,-76.92863078415394)"
"PP23070200001187","07/02/2023","AUTO, STOLEN","409","H","H1","5200 BLOCK","MARLBORO PIKE WB","38.8666459769","-76.91583552957","(38.866645976901054,-76.91583552956581)"
"PP23070200001231","07/02/2023","ACCIDENT","702","E","E3","11200 BLOCK","HOMESTEAD DR","38.88370631635","-76.8121611923","(38.88370631635189,-76.81216119229794)"
"PP23070200001345","07/02/2023","ACCIDENT","413","H","H7",,"WALKER MILL RD EB / RITCHIE MARLBORO RD","38.8695987314","-76.85153119266","(38.86959873139858,-76.85153119266033)"
"PP23070200001460","07/02/2023","ACCIDENT WITH IMPOUND","511","J","J2","4600 BLOCK","WHEELER RD","38.82694789767","-76.97751519084","(38.82694789767265,-76.97751519083977)"
"PP23070200001478","07/02/2023","ACCIDENT WITH IMPOUND","135","A","A2","3100 BLOCK","QUEENS CHAPEL RD SB","38.95030722022","-76.96800078452","(38.950307220220566,-76.96800078451633)"
"PP23070200001492","07/02/2023","THEFT","842","D","D6","9800 BLOCK","MARTIN LUTHER KING JUNIOR HWY WB","38.95096339285","-76.83742360771","(38.95096339285374,-76.83742360770702)"
"PP23070200001516","07/02/2023","AUTO, STOLEN","423","H","H4","5000 BLOCK","SILVER HILL CT","38.85286647081","-76.91517935693","(38.85286647081375,-76.91517935693264)"
"PP23070200001729","07/02/2023","AUTO, STOLEN","409","H","H1","1000 BLOCK","UTE WAY","38.87517614663","-76.91714785993","(38.87517614662647,-76.91714785993099)"
"PP23070200001762","07/02/2023","THEFT","769","K","K4","6400 BLOCK","AUTH RD","38.81251223385","-76.89647860825","(38.81251223385334,-76.89647860825062)"
"PP23070200001790","07/02/2023","THEFT","124","A","A3","6800 BLOCK","NEW HAMPSHIRE AVE NB","38.97458539903","-76.99457553029","(38.97458539903164,-76.9945755302906)"
"PP23070200001855","07/02/2023","ASSAULT","418","H","H6","3100 BLOCK","MAYGREEN AVE","38.84761714935","-76.87810593843","(38.84761714935303,-76.8781059384346)"
"PP23070200001877","07/02/2023","ACCIDENT WITH IMPOUND","506","K","K3","2400 BLOCK","KEATING ST","38.83383764327","-76.9545493573","(38.833837643265724,-76.95454935729504)"
"PP23070200001942","07/02/2023","ACCIDENT WITH IMPOUND","734","F","F6","11800 BLOCK","NORTH MARLTON AVE","38.77445456386","-76.79247619212","(38.774454563856125,-76.79247619211674)"
"PP23070200002121","07/02/2023","AUTO, STOLEN","860","E","E6","13700 BLOCK","CENTRAL AVE WB","38.90601597726","-76.77246311307","(38.90601597726345,-76.77246311306953)"
"PP23070200002127","07/02/2023","ACCIDENT","110","A","A4","1500 BLOCK","UNIVERSITY BLVD WB","38.98541215062","-76.98112411797","(38.985412150621414,-76.98112411797047)"
"PP23070200002253","07/02/2023","ACCIDENT WITH IMPOUND","844","D","D5",,"ENTERPRISE RD / WOODGATE WAY","38.95161956549","-76.79903785884","(38.95161956548691,-76.7990378588438)"
"PP23070200002293","07/02/2023","ROBBERY, VEHICLE","408","H","H1","5100 BLOCK","SOUTHERN AVE","38.87714464962","-76.92961503565","(38.877144649624825,-76.92961503565311)"
"PP23070200002296","07/02/2023","AUTO, STOLEN","226","B","B5","6200 BLOCK","FERNWOOD TER","38.96310247481","-76.90107177198","(38.96310247480869,-76.90107177197933)"
"PP23070200002364","07/02/2023","ACCIDENT","110","A","A4","1800 BLOCK","MERRIMAC DR","38.99098956585","-76.97521860898","(38.990989565849304,-76.97521860897541)"
"PP23070200002389","07/02/2023","ACCIDENT","110","A","A4","8000 BLOCK","RIGGS RD","38.98738063872","-76.97554670274","(38.987380638718605,-76.97554670274258)"
"PP23070200002430","07/02/2023","ACCIDENT WITH IMPOUND","858","E","E2","600 BLOCK","HARRY S TRUMAN DR","38.89748580754","-76.84300102293","(38.89748580753803,-76.84300102293491)"
"PP23070200002442","07/02/2023","ACCIDENT","521","J","J3",,"BALD EAGLE RD / CAP BELT IL N HWY SB","38.80201356113","-77.00212144852","(38.80201356112957,-77.00212144851685)"
"PP23070200002452","07/02/2023","ACCIDENT WITH IMPOUND","634","F","F4","6800 BLOCK","SAND CHERRY WAY","38.74000580609","-76.88729228079","(38.74000580608845,-76.88729228079319)"
"PP23070200002554","07/02/2023","ASSAULT, SHOOTING","301","G","G3","1700 BLOCK","KENILWORTH AVE NB","38.91224956512","-76.93355202675","(38.91224956512451,-76.93355202674866)"
"PP23070300000214","07/03/2023","ROBBERY, VEHICLE","844","D","D5","11200 BLOCK","RAGING BROOK DR","38.95358805358","-76.81150503457","(38.9535880535841,-76.81150503456593)"
"PP23070300000216","07/03/2023","THEFT FROM AUTO","408","H","H1","1200 BLOCK","CLOVIS AVE","38.87517614663","-76.92830269039","(38.87517614662647,-76.92830269038677)"
"PP23070300000380","07/03/2023","THEFT FROM AUTO","701","E","E3","90 BLOCK","CAPITAL CT","38.89289264381","-76.83939211071","(38.89289264380932,-76.83939211070538)"
"PP23070300000399","07/03/2023","B & E, OTHER","723","F","F3","9200 BLOCK","OLD PIKE WAY","38.81021563709","-76.84496952593","(38.81021563708782,-76.84496952593327)"
"PP23070300000421","07/03/2023","THEFT FROM AUTO","769","K","K4","6400 BLOCK","MAXWELL DR","38.81513689458","-76.89615052938","(38.8151368945837,-76.89615052938461)"
"PP23070300000439","07/03/2023","THEFT FROM AUTO","616","K","K6","3000 BLOCK","BRINKLEY RD","38.80431014299","-76.95684593916","(38.80431014299393,-76.9568459391594)"
"PP23070300000450","07/03/2023","THEFT FROM AUTO","409","H","H1","5200 BLOCK","MARLBORO PIKE WB","38.8656617254","-76.91616360843","(38.86566172540188,-76.91616360843182)"
"PP23070300000544","07/03/2023","AUTO, STOLEN","175","A","A5","3400 BLOCK","TOLEDO TER","38.9709764719","-76.95947061479","(38.97097647190094,-76.95947061479092)"
"PP23070300000561","07/03/2023","AUTO, STOLEN","303","G","G5","7100 BLOCK","FIRWOOD LN","38.92865373194","-76.88663610816","(38.92865373194218,-76.88663610816002)"
"PP23070300000654","07/03/2023","ROBBERY, COMMERCIAL","815","D","D2","9900 BLOCK","GREENBELT RD WB","38.99098956585","-76.83447086811","(38.990989565849304,-76.83447086811066)"
"PP23070300000655","07/03/2023","AUTO, STOLEN","427","H","H5","3200 BLOCK","SYCAMORE LN","38.84532056749","-76.92403760552","(38.84532056748867,-76.92403760552406)"
"PP23070300000726","07/03/2023","AUTO, STOLEN","842","TRU","D6","9200 BLOCK","ROLLING VIEW DR","38.95457230508","-76.85317161679","(38.954572305083275,-76.85317161679268)"
"PP23070300000752","07/03/2023","AUTO, STOLEN","443","TRU","K4","5100 BLOCK","BARTO AVE","38.81940197945","-76.90304027498","(38.81940197944641,-76.90304027497768)"
"PP23070300000805","07/03/2023","ACCIDENT","308","G","G6",,"RT 202 / MLK HWY EB","38.92602905631","-76.87449702621","(38.926029056310654,-76.87449702620506)"
